REM, GRADUIS3(SFC)
_START,00008100
_END,00008345
00,[SP]
01,0
02,1
03,2
04,3
05,4
06,5
07,6
08,7
09,8
0A,9
0B,A
0C,B
0D,C
0E,D
0F,E
10,F
11,G
12,H
13,I
14,J
15,K
16,L
17,M
18,N
19,O
1A,P
1B,Q
1C,R
1D,S
1E,T
1F,U
20,V
21,W
22,X
23,Y
24,Z
REM,25,[NULL]
REM,26,[NULL]
REM,27,[NULL]
REM,28,[NULL]
REM,29,[NULL]
REM,2A,[NULL]
REM,2B,[NULL]
REM,2C,[NULL]
REM,2D,[NULL]
REM,2E,[NULL]
2F,'
30,[NULL]
31,[NULL]
32,[NULL]
33,[NULL]
34,[NULL]
35,[NULL]
36,[NULL]
37,[NULL]
38,[NULL]
39,[NULL]
3A,[NULL]
3B,[NULL]
3C,[NULL]
3D,[NULL]
3E,[NULL]
3F,[NULL]
40,[NULL]
41,[NULL]
42,[NULL]
43,[NULL]
44,[NULL]
45,[NULL]
46,[NULL]
47,[NULL]
48,[NULL]
49,[NULL]
4A,[NULL]
4B,[NULL]
4C,[NULL]
4D,[NULL]
4E,[NULL]
4F,[NULL]
50,[NULL]
51,[NULL]
52,[NULL]
53,[NULL]
54,[NULL]
55,[NULL]
56,[NULL]
57,[NULL]
58,[NULL]
59,[NULL]
5A,[NULL]
5B,[NULL]
5C,[NULL]
5D,[NULL]
5E,[NULL]
5F,[NULL]
60,[NULL]
61,[NULL]
62,[NULL]
63,[NULL]
64,[NULL]
65,[NULL]
66,[NULL]
67,[NULL]
68,[NULL]
69,[NULL]
6A,[NULL]
6B,[NULL]
6C,[NULL]
6D,[NULL]
6E,[NULL]
6F,[NULL]
70,[NULL]
71,[NULL]
72,[NULL]
73,[NULL]
74,[NULL]
75,[NULL]
76,[NULL]
77,[NULL]
78,[NULL]
79,[NULL]
7A,[NULL]
7B,[NULL]
7C,[NULL]
7D,[NULL]
7E,[NULL]
7F,[NULL]
80,[NULL]
81,[NULL]
82,[NULL]
83,[NULL]
84,[NULL]
85,[NULL]
86,[NULL]
87,[NULL]
88,[NULL]
89,[NULL]
8A,[NULL]
8B,[NULL]
8C,[NULL]
8D,[NULL]
8E,[NULL]
8F,[NULL]
90,[NULL]
91,[NULL]
92,[NULL]
93,[NULL]
94,[NULL]
95,[NULL]
96,[NULL]
97,[NULL]
98,[NULL]
99,[NULL]
9A,[NULL]
9B,[NULL]
9C,[NULL]
9D,[NULL]
9E,[NULL]
9F,[NULL]
A0,[NULL]
A1,[NULL]
A2,[NULL]
A3,[NULL]
A4,[NULL]
A5,[NULL]
A6,[NULL]
A7,[NULL]
A8,[NULL]
A9,[NULL]
AA,[NULL]
AB,[NULL]
AC,[NULL]
AD,[NULL]
AE,[NULL]
AF,[NULL]
b0,[NULL]
b1,[NULL]
b2,[NULL]
b3,[NULL]
b4,[NULL]
b5,[NULL]
b6,[NULL]
b7,[NULL]
b8,[NULL]
b9,[NULL]
ba,[NULL]
bb,[NULL]
bc,[NULL]
bd,[NULL]
be,[NULL]
bf,[NULL]
c0,[NULL]
c1,[NULL]
c2,[NULL]
c3,[NULL]
c4,[NULL]
c5,[NULL]
c6,[NULL]
c7,[NULL]
c8,[NULL]
c9,[NULL]
ca,[NULL]
cb,[NULL]
cc,[NULL]
cd,[NULL]
ce,[NULL]
cf,[NULL]
d0,[NULL]
d1,[NULL]
d2,[NULL]
d3,[NULL]
d4,[NULL]
d5,[NULL]
d6,[NULL]
d7,[NULL]
d8,[NULL]
d9,[NULL]
da,[NULL]
db,[NULL]
dc,[NULL]
dd,[NULL]
de,[NULL]
df,[NULL]
e0,[NULL]
e1,[NULL]
e2,[NULL]
e3,[NULL]
e4,[NULL]
e5,[NULL]
e6,[NULL]
e7,[NULL]
e8,[NULL]
e9,[NULL]
ea,[NULL]
eb,[NULL]
ec,[NULL]
ed,[NULL]
ee,[NULL]
ef,[NULL]
f0,[NULL]
f1,[NULL]
f2,[NULL]
f3,[NULL]
f4,[NULL]
f5,[NULL]
f6,[NULL]
f7,[NULL]
f8,[NULL]
f9,[NULL]
fa,[NULL]
fb,[NULL]
fc,[NULL]
fd,[NULL]
fe,[CMD_W3]PRINT
ff,[NULL]
