REM,GAME: ポケモン金銀クリスタル(GB)
00,[NULL]
01,ｲ゛
02,ｳ゛
03,ｴ゛
04,ｵ゛
05,ガ
06,ギ
07,グ
08,ゲ
09,ゴ
0A,ザ
0B,ジ
0C,ズ
0D,ゼ
0E,ゾ
0F,ダ
10,ヂ
11,ヅ
12,デ
13,ド
14,ﾅ゛
15,ﾆ゛
16,ﾇ゛
17,ﾈ゛
18,ﾉ゛
19,バ
1A,ビ
1B,ブ
1C,ボ
1D,に 
1E,って
1F,を 
20,イ゛
21,あ゛
22,た！
23,こうげき
24,は 
25,の 
26,が
27,ぎ
28,ぐ
29,げ
2A,ご
2B,ざ
2C,じ
2D,ず
2E,ぜ
2F,ぞ
30,だ
31,ぢ
32,づ
33,で
34,ど
35,ばん どうろ
36,わたし
37,ここは　
38,レッド
39,グリーン
3A,ば
3B,び
3C,ぶ
3D,べ
3E,ぼ
3F,パ
40,パ
41,ピ
42,プ
43,ポ
44,ぱ
45,ぴ
46,ぷ
47,ぺ
48,ぽ
49,おかあさんが
4A,が
4B,[送]
4C,[自]
4D,も゛
4E,[\n]
4F,[\n]
50,[\n]
51,[PRESS A]
52,(プレイヤー)
53,(ライバル)
54,ポケモン
55,[\n]
56,……
57,[\n]
58,[\n]
59,59
5A,5a
5B,パソコン
5C,わざマシン
5D,トレーナー
5E,ロケットだん
5F,5f
60,■
61,▲
62,C
63,D
64,E
65,F
66,G
67,H
68,I
69,V
6A,S
6B,L
6C,M
6D,：
6E,ぃ
6F,ぅ
70,「
71,」
72,『
73,』
74,・
75,…
76,ぁ
77,ぇ
78,ぉ
79,┌
7A,A
7B,B
7C,│
7D,└
7E,┘
7F,　
REM, これより前はタイルによる
80,ア
81,イ
82,ウ
83,エ
84,オ
85,カ
86,キ
87,ク
88,ケ
89,コ
8A,サ
8B,シ
8C,ス
8D,セ
8E,ソ
8F,タ
90,チ
91,ツ
92,テ
93,ト
94,ナ
95,ニ
96,ヌ
97,ネ
98,ノ
99,ハ
9A,ヒ
9B,フ
9C,ホ
9D,マ
9E,ミ
9F,ム
A0,メ
A1,モ
A2,ヤ
A3,ユ
A4,ヨ
A5,ラ
A6,ル
A7,レ
A8,ロ
A9,ワ
AA,ヲ
AB,ン
AC,ッ
AD,ャ
AE,ュ
AF,ョ
b0,ィ
b1,あ
b2,い
b3,う
b4,え
b5,お
b6,か
b7,き
b8,く
b9,け
ba,こ
bb,さ
bc,し
bd,す
be,せ
bf,そ
c0,た
c1,ち
c2,つ
c3,て
c4,と
c5,な
c6,に
c7,ぬ
c8,ね
c9,の
ca,は
cb,ひ
cc,ふ
cd,へ
ce,ほ
cf,ま
d0,み
d1,む
d2,め
d3,も
d4,や
d5,ゆ
d6,よ
d7,ら
d8,り
d9,る
da,れ
db,ろ
dc,わ
dd,を
de,ん
df,っ
e0,ゃ
e1,ゅ
e2,ょ
e3,ー
e4,゜
e5,゛
e6,？
e7,！
e8,。
e9,ァ
ea,ゥ
eb,ェ
ec,[>
ed,[>
ee,▼
ef,♂
f0,円
f1,×
f2,．
f3,／
f4,ｫ
f5,♀
f6,0
f7,1
f8,2
f9,3
fa,4
fb,5
fc,6
fd,7
fe,8
ff,9
F01F6,[対戦相手]
